attendance_rate,assignment_average,quiz_average,exam_average,study_hours,late_submissions,absences,engagement_score,risk_status
84.3,75.6,61.4,57.0,6.2,3,8,71.1,At Risk
80.3,73.1,66.7,62.5,8.7,3,3,70.2,On Track
78.6,85.6,85.6,72.7,8.0,3,12,74.6,On Track
72.3,72.6,69.0,52.5,3.6,6,9,61.9,At Risk
94.6,80.0,95.9,93.7,9.1,4,5,75.6,On Track
93.5,78.1,84.0,75.2,8.6,4,3,86.8,On Track
75.4,84.3,72.0,69.2,9.8,5,5,73.9,At Risk
88.1,72.1,74.9,66.1,13.1,3,8,77.4,On Track
77.9,76.6,79.7,55.5,6.5,4,9,55.2,At Risk
84.5,80.4,58.7,62.8,2.0,2,7,87.6,At Risk
84.2,80.1,84.2,73.3,6.4,2,1,73.7,On Track
99.1,95.2,96.7,76.8,10.5,0,0,83.3,On Track
66.6,57.1,59.8,57.9,7.5,5,9,58.4,At Risk
89.4,80.8,77.3,83.6,8.4,0,3,77.0,On Track
90.3,90.2,64.0,75.0,4.9,2,5,66.9,On Track
84.7,76.8,71.9,75.6,6.8,1,7,86.3,On Track
80.9,77.3,66.6,67.5,5.0,4,5,78.3,At Risk
90.7,81.4,69.9,100.0,14.3,1,0,88.4,On Track
88.6,78.3,87.3,88.5,7.4,3,3,77.5,On Track
86.6,83.3,73.2,68.5,7.8,2,3,63.8,On Track
95.1,100.0,95.7,80.4,6.2,2,1,100.0,On Track
100.0,94.1,97.0,100.0,13.4,2,0,100.0,On Track
81.7,49.4,47.3,61.2,5.8,3,4,64.4,At Risk
91.3,74.1,75.0,71.5,5.5,4,3,58.8,On Track
96.9,92.3,91.7,98.2,11.9,1,2,81.3,On Track
90.4,69.4,59.0,71.5,2.3,4,4,72.5,At Risk
72.1,67.5,61.8,64.5,7.6,5,7,63.8,At Risk
88.0,77.5,80.4,93.9,10.1,3,5,87.8,On Track
82.5,72.0,80.7,65.2,8.5,3,8,80.4,On Track
78.7,75.9,61.8,58.8,11.8,3,4,60.9,At Risk
94.3,81.2,82.1,95.8,8.8,3,3,85.8,On Track
96.5,88.7,87.6,86.8,9.3,0,1,91.6,On Track
84.3,67.3,76.4,72.5,4.7,2,6,67.1,On Track
89.4,76.3,60.0,68.1,6.9,3,2,72.5,On Track
77.1,60.8,57.4,57.3,1.0,4,8,64.7,At Risk
74.8,68.0,62.0,59.9,6.3,6,5,72.0,At Risk
94.6,79.0,86.3,68.7,10.7,3,0,92.3,On Track
79.5,52.3,49.4,68.2,8.3,5,6,58.9,At Risk
85.5,79.0,74.6,82.5,10.5,3,8,62.2,On Track
91.1,80.0,88.4,83.2,5.8,2,6,87.9,On Track
97.2,97.4,86.3,91.0,9.8,0,0,90.2,On Track
87.2,85.2,67.4,75.8,8.8,4,5,87.0,On Track
82.7,83.2,81.4,75.3,9.0,3,7,73.1,On Track
90.2,89.7,73.4,93.0,9.1,3,4,78.7,On Track
100.0,100.0,100.0,99.3,13.2,0,0,92.8,On Track
73.7,71.2,47.5,58.7,7.7,6,11,56.6,At Risk
77.9,59.7,47.5,54.3,4.8,4,8,71.4,At Risk
78.8,72.8,83.2,68.2,8.2,4,4,81.6,At Risk
73.3,90.9,85.5,79.9,10.2,2,10,86.2,On Track
80.9,72.3,69.6,62.2,7.9,3,5,59.3,On Track
94.5,100.0,96.6,90.5,7.4,2,4,100.0,On Track
84.6,59.5,58.9,68.4,8.9,3,9,62.6,At Risk
79.1,66.5,78.9,61.5,2.1,5,6,74.3,At Risk
93.1,82.5,88.4,91.4,16.2,2,3,85.1,On Track
95.7,82.5,73.1,76.3,7.7,6,0,99.4,On Track
86.7,72.4,71.0,67.9,10.1,4,3,80.2,On Track
99.8,85.3,72.3,88.1,10.4,3,0,93.4,On Track
83.4,85.1,74.2,68.6,3.1,5,11,66.6,At Risk
73.8,78.2,55.7,74.4,7.2,6,7,69.7,At Risk
75.3,75.0,78.0,63.5,9.6,4,7,71.3,At Risk
78.4,63.2,67.6,67.7,2.0,5,8,77.7,At Risk
61.2,45.1,53.3,40.8,1.1,5,17,61.7,At Risk
82.9,55.0,70.4,72.1,2.2,4,4,78.3,At Risk
79.7,70.5,73.0,75.3,4.8,2,6,76.5,On Track
76.0,69.1,73.1,76.0,6.9,4,7,69.4,At Risk
71.5,75.2,74.5,82.7,8.0,2,10,63.7,At Risk
90.8,84.8,96.2,85.2,12.0,1,3,83.4,On Track
83.5,64.4,74.2,67.4,9.1,3,3,76.0,On Track
88.0,74.1,57.0,83.4,6.5,3,5,67.8,On Track
83.4,78.6,77.5,77.5,7.0,6,4,59.6,On Track
65.0,61.9,51.6,55.6,3.2,5,12,62.3,At Risk
94.2,78.7,72.4,72.9,8.0,5,1,78.9,On Track
77.0,56.0,65.9,78.1,6.3,5,9,70.6,At Risk
74.8,76.3,55.2,56.2,9.7,6,11,45.7,At Risk
79.6,68.1,60.4,66.3,5.5,4,7,70.0,At Risk
96.9,84.0,85.4,76.0,10.6,3,2,77.8,On Track
82.6,82.5,68.8,85.3,5.4,5,5,81.2,On Track
91.9,74.6,92.9,82.9,9.3,3,4,88.3,On Track
99.2,86.8,70.5,73.6,9.7,2,0,86.1,On Track
75.7,71.0,72.5,60.0,2.7,3,8,73.8,At Risk
90.6,89.3,90.2,88.5,12.8,0,7,85.7,On Track
84.7,76.5,74.2,83.2,13.4,2,5,74.1,On Track
99.8,95.5,74.4,81.5,13.7,2,0,87.1,On Track
98.0,87.3,80.3,90.7,11.9,2,1,83.0,On Track
86.6,64.0,68.7,65.1,6.5,2,3,77.4,On Track
83.2,78.1,74.4,77.2,10.2,3,6,77.8,On Track
79.5,73.8,79.0,61.0,2.0,4,5,74.7,At Risk
95.1,87.3,83.3,97.5,13.8,1,5,86.6,On Track
94.5,86.7,86.1,99.7,10.6,3,2,81.4,On Track
82.7,68.3,68.8,68.3,6.0,4,3,59.4,At Risk
92.4,75.5,79.9,85.5,9.4,3,0,75.6,On Track
77.7,82.7,70.6,78.7,12.5,3,8,88.2,On Track
84.7,77.3,80.4,83.3,7.0,4,3,80.3,On Track
79.3,64.7,65.3,66.3,8.2,3,10,73.3,At Risk
82.5,68.2,69.8,56.7,7.0,2,6,56.8,At Risk
91.7,81.7,90.2,75.4,7.5,2,2,64.5,On Track
90.1,80.5,80.0,86.7,6.4,2,3,80.4,On Track
73.7,55.6,57.8,59.4,7.8,4,7,64.0,At Risk
86.1,81.7,75.7,70.2,10.2,3,5,89.0,On Track
91.7,84.4,83.9,88.5,11.8,3,4,78.0,On Track
93.5,86.0,91.6,85.0,10.9,2,6,80.8,On Track
91.6,91.9,71.7,71.1,7.5,3,2,82.6,On Track
84.9,70.1,78.4,83.6,12.1,2,6,66.2,On Track
76.0,73.3,77.6,67.8,9.1,3,9,76.5,At Risk
97.9,81.6,59.9,83.3,8.7,3,3,76.8,On Track
77.6,65.3,70.0,66.6,8.3,4,8,73.8,At Risk
85.6,76.3,84.7,88.4,11.7,3,3,75.4,On Track
80.3,64.2,61.1,74.9,6.0,2,5,80.9,On Track
86.0,82.1,67.6,64.7,9.4,2,6,89.8,On Track
77.8,76.6,77.2,70.1,4.7,2,6,60.0,At Risk
65.4,62.0,66.2,57.9,5.6,7,14,56.7,At Risk
80.2,74.8,69.1,82.2,4.0,3,3,74.6,On Track
89.3,69.9,60.8,66.5,7.9,5,5,79.8,At Risk
93.8,97.3,74.8,83.8,11.1,1,3,82.2,On Track
98.4,74.1,86.8,83.2,11.4,1,5,85.2,On Track
80.2,86.5,77.6,81.6,8.8,3,8,67.9,On Track
93.7,84.7,97.0,98.5,6.5,2,4,100.0,On Track
82.8,76.7,68.2,57.3,3.0,6,5,68.4,At Risk
82.9,76.8,72.7,65.8,5.6,4,7,73.3,On Track
83.7,77.8,60.5,60.8,9.2,3,9,74.8,At Risk
94.1,87.0,85.8,95.4,9.8,2,0,78.6,On Track
86.6,81.9,75.0,57.5,7.1,4,7,80.0,On Track
88.2,66.8,72.9,69.5,9.5,1,9,74.8,At Risk
79.5,62.5,72.3,63.1,7.1,6,11,82.0,At Risk
92.6,92.9,79.7,84.4,9.3,1,2,84.6,On Track
82.2,69.8,86.5,85.3,6.3,4,10,71.2,At Risk
82.8,73.3,66.3,53.4,5.1,3,7,49.8,At Risk
86.2,84.5,78.9,76.9,6.9,3,6,95.8,On Track
91.9,78.9,90.8,70.4,13.1,1,5,92.0,On Track
84.1,79.9,76.6,78.5,12.2,3,5,77.6,On Track
94.2,81.2,68.9,75.1,6.7,3,3,73.9,On Track
88.8,89.8,100.0,86.4,14.5,0,2,80.6,On Track
97.7,87.0,83.1,83.2,10.2,2,4,80.2,On Track
86.6,64.2,84.0,72.5,4.1,2,6,80.5,On Track
86.7,81.7,85.7,70.0,4.9,2,5,74.0,On Track
85.4,79.2,67.8,72.8,13.0,3,9,64.5,At Risk
75.6,67.1,68.2,68.7,6.2,2,9,77.7,At Risk
93.5,75.3,83.0,81.8,8.0,3,3,97.0,On Track
76.2,72.4,73.0,58.5,4.2,3,9,62.1,At Risk
83.9,69.9,86.4,70.7,6.7,5,6,80.0,On Track
90.5,68.5,63.5,75.1,5.7,4,6,64.6,At Risk
74.0,72.7,65.4,62.7,3.3,4,7,71.7,At Risk
89.4,70.3,88.8,62.6,6.4,5,4,76.4,On Track
79.1,63.0,64.2,58.8,5.6,6,9,62.9,At Risk
88.5,87.2,99.2,84.8,11.2,2,5,78.6,On Track
100.0,85.1,69.9,77.9,6.7,4,0,77.0,On Track
84.2,87.7,75.5,56.9,4.5,4,3,75.4,At Risk
100.0,71.3,93.6,88.8,14.9,1,0,87.5,On Track
95.9,75.9,83.3,92.2,10.5,2,2,83.4,On Track
82.3,82.0,73.0,73.7,4.5,2,2,89.3,On Track
87.6,87.6,93.8,94.6,12.7,3,1,94.2,On Track
91.4,86.6,75.9,94.8,5.1,4,1,81.0,On Track
86.1,88.0,95.2,76.1,7.0,1,5,57.7,On Track
89.3,78.0,68.8,64.6,4.1,2,1,63.9,At Risk
80.9,86.1,81.0,70.9,8.5,3,3,55.9,On Track
71.1,67.3,67.3,67.9,2.7,3,8,63.7,At Risk
100.0,93.1,85.3,91.2,7.0,1,0,100.0,On Track
